repo	status	path	class
RADRILONIUMA-PROJECT	 D	LRPT/AGENT_INSTRUCTIONS.md	other
RADRILONIUMA-PROJECT	 D	LRPT/ATPLT_DEBUG_DEVKIT_COMMAND_ERROR_ANALYSIS_V2.md	other
RADRILONIUMA-PROJECT	 D	LRPT/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	other
RADRILONIUMA-PROJECT	 D	LRPT/DEV_MAP.md	other
RADRILONIUMA-PROJECT	 D	LRPT/EVIDENCE_POLICY.md	other
RADRILONIUMA-PROJECT	 D	LRPT/GENESIS/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/GLOBAL_DEEP_PLAN_PHASE80.md	other
RADRILONIUMA-PROJECT	 D	LRPT/OS_DEV_MAP.md	other
RADRILONIUMA-PROJECT	 D	LRPT/PUBLIC_SHARE_PROTOCOL.md	other
RADRILONIUMA-PROJECT	 D	LRPT/RADRILONIUMA_MANIFESTO.md	other
RADRILONIUMA-PROJECT	 D	LRPT/ROADMAP_MAP.md	other
RADRILONIUMA-PROJECT	 D	LRPT/TOOLING_ERROR_ANALYSIS_PREVIOUS_COMMAND.md	other
RADRILONIUMA-PROJECT	 D	LRPT/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	other
RADRILONIUMA-PROJECT	 D	LRPT/architecture/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/atlas/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/chronolog/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/code/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/core/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/ecosystem/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/flow/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/gen/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/CODEX_README.md	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/LAM_DEV_MAP_HEALED.md	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/codex_cli.py	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/codex_gate.py	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/core_healed.py	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/kingdom_vocabulary.py	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/read_docx.py	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/requirements-dev-healed.txt	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/segmenter_chronicler.py	code_runtime
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/spread_the_word.sh	other
RADRILONIUMA-PROJECT	 D	LRPT/healing_tools/tests/test_sacred_integrity.py	other
RADRILONIUMA-PROJECT	 D	LRPT/journal/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/kit/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/log/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/map/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/matrix/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/mode/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/module/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/AGENTS_HEAL_PHASE80.patch	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/ARCHIVATOR_HEAL_PHASE80.patch	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/LAM_HEAL_PHASE80_FAISS_LOG.patch	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/LAM_MAP_DAWN_SYNC.patch	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/SEGMENTER_CHRONICLER_PHASE80.patch	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/SEGMENTER_HEAL_PHASE80.patch	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/TEST_AGENT_HEAL_INTEGRITY.py	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/lam_logging_unified.py	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/logging_utils_unified.py	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/memory_core_healed.py	other
RADRILONIUMA-PROJECT	 D	LRPT/patches/time_sense_harmonized.py	other
RADRILONIUMA-PROJECT	 M	LRPT/shell_preflight_check.py	other
RADRILONIUMA-PROJECT	 D	LRPT/space/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/structure/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/surrounds/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/system/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/territory/.gitkeep	other
RADRILONIUMA-PROJECT	 D	LRPT/tree/.gitkeep	other
RADRILONIUMA-PROJECT	 M	agents/operator-agent	other
RADRILONIUMA-PROJECT	 M	gov/asr/INDEX.md	session_telemetry
RADRILONIUMA-PROJECT	??	AGENTS.md	other
RADRILONIUMA-PROJECT	??	GEMINI.md	other
RADRILONIUMA-PROJECT	??	devkit/README.md	other
RADRILONIUMA-PROJECT	??	devkit/healing_tools/	other
RADRILONIUMA-PROJECT	??	devkit/patch.py	other
RADRILONIUMA-PROJECT	??	devkit/patch.sh	code_runtime
RADRILONIUMA-PROJECT	??	devkit/patches/	other
RADRILONIUMA-PROJECT	??	devkit/preflight_baseline_commands_bash.txt	other
RADRILONIUMA-PROJECT	??	devkit/preflight_baseline_commands_powershell.txt	other
RADRILONIUMA-PROJECT	??	devkit/shell_preflight.sh	code_runtime
RADRILONIUMA-PROJECT	??	devkit/shell_preflight_check.py	other
RADRILONIUMA-PROJECT	??	devkit/task_spec_example.yaml	protocol
RADRILONIUMA-PROJECT	??	gov/ATPLT_DEBUG_DEVKIT_COMMAND_ERROR_ANALYSIS_V2.md	other
RADRILONIUMA-PROJECT	??	gov/TOOLING_ERROR_ANALYSIS_PREVIOUS_COMMAND.md	other
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__agent-mirror-sync-wave10.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__agents-mirror-sync-wave11.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__asa-revision-current-dir-wave12.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__devkit-facade-and-block-feedback-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__fault-hunt-wave3-multi-repo.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__fault-hunt-wave5-continuation.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__fault-hunt-wave6-regression-closure.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__fault-hunt-wave7-deep-sweep.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__infra-gap-closure-wave4.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__lam-test-agent-4repo-diagnostic-triage-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__lam-test-agent-4repo-remediation-wave2.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__lam-test-agent-fault-hunt-wave8.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__larpat-precheck-and-patch-surface-remediation-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__lrpt-quarantine-deep-scan-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__mirror-scan-reconciliation-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__mirror-scan-reconciliation-wave2.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__mirror-scan-reconciliation-wave3.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__pytest-coverage-rollout-wave13.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-duplicate-cleanup-wave3.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-full-mirror-scan-wave4.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-post-scan-smoke-wave5.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-restore-queue-wave2-integrity-hotfix.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-restore-queue-wave2.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-restore-step-01-atplt-debug-error-analysis.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-restore-step-02-tooling-error-analysis-previous-command.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-restore-step-03-topology-parent-alignment.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-restore-step-04-healing-tools-codex-readme.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__quarantine-structure-drift-gate-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__segmenter-pattern-mass-remediation-wave9.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/asr/sessions/2026-03-03__ASR__workflow-snapshot-state-merge-decision-wave1.md	session_telemetry
RADRILONIUMA-PROJECT	??	gov/report/diagnostics/	other
RADRILONIUMA-PROJECT	??	gov/report/semantic_index/	other
RADRILONIUMA-PROJECT	??	plans	other
Archivator_Agent	 M	Archive/Index/agent_ecosystem_memory_flow_report_latest.md	generated_index
Archivator_Agent	 M	Archive/Index/agent_matrix_anomaly_report_latest.md	generated_index
Archivator_Agent	 M	Archive/Index/archivator_extended_agent_matrix_report_latest.md	generated_index
Archivator_Agent	 M	Archive/Index/ecosystem_memory_matrix_report_latest.md	generated_index
Archivator_Agent	 M	Archive/Index/github_subtree_report_latest.md	generated_index
Archivator_Agent	 M	Archive/Index/subtree_drift_report_latest.md	generated_index
Archivator_Agent	 M	devkit/healing_tools/segmenter_chronicler.py	code_runtime
Archivator_Agent	 M	map/devkit/devkit/healing_tools/segmenter_chronicler.py	code_runtime
Archivator_Agent	 M	map/devkit/healing_tools/segmenter_chronicler.py	code_runtime
Archivator_Agent	 M	segmenter_blocks.py	code_runtime
Archivator_Agent	??	.gateway/	generated_index
Archivator_Agent	??	.gemini/	other
Archivator_Agent	??	AGENTS.md	other
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260303_114850.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260303_114923.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260303_115147.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260305_024118.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260305_024216.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260305_030429.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_file_matrix_20260305_032840.tsv	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_memory_flow_report_20260303_114850.md	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_memory_flow_report_20260303_114923.md	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_memory_flow_report_20260303_115147.md	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_memory_flow_report_20260305_024118.md	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_memory_flow_report_20260305_024216.md	generated_index
Archivator_Agent	??	Archive/Index/agent_ecosystem_memory_flow_report_20260305_032840.md	generated_index
Archivator_Agent	??	Archive/Index/agent_matrix_anomaly_report_20260303_114850.md	generated_index
Archivator_Agent	??	Archive/Index/agent_matrix_anomaly_report_20260303_114923.md	generated_index
Archivator_Agent	??	Archive/Index/agent_matrix_anomaly_report_20260303_115148.md	generated_index
Archivator_Agent	??	Archive/Index/agent_matrix_anomaly_report_20260305_024118.md	generated_index
Archivator_Agent	??	Archive/Index/agent_matrix_anomaly_report_20260305_024216.md	generated_index
Archivator_Agent	??	Archive/Index/agent_matrix_anomaly_report_20260305_032840.md	generated_index
Archivator_Agent	??	Archive/Index/archivator_extended_agent_matrix_report_20260303_114850.md	generated_index
Archivator_Agent	??	Archive/Index/archivator_extended_agent_matrix_report_20260303_114923.md	generated_index
Archivator_Agent	??	Archive/Index/archivator_extended_agent_matrix_report_20260303_115148.md	generated_index
Archivator_Agent	??	Archive/Index/archivator_extended_agent_matrix_report_20260305_024118.md	generated_index
Archivator_Agent	??	Archive/Index/archivator_extended_agent_matrix_report_20260305_024216.md	generated_index
Archivator_Agent	??	Archive/Index/archivator_extended_agent_matrix_report_20260305_032840.md	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_file_matrix_20260303_114850.tsv	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_file_matrix_20260303_114923.tsv	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_file_matrix_20260303_115147.tsv	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_file_matrix_20260305_024117.tsv	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_file_matrix_20260305_024216.tsv	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_file_matrix_20260305_032840.tsv	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_memory_matrix_report_20260303_114850.md	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_memory_matrix_report_20260303_114923.md	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_memory_matrix_report_20260303_115147.md	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_memory_matrix_report_20260305_024117.md	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_memory_matrix_report_20260305_024216.md	generated_index
Archivator_Agent	??	Archive/Index/ecosystem_memory_matrix_report_20260305_032840.md	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260303_114850.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260303_114923.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260303_115147.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260305_024118.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260305_024216.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260305_030429.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_matrix_20260305_032840.tsv	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_report_20260303_114850.md	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_report_20260303_114923.md	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_report_20260303_115147.md	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_report_20260305_024118.md	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_report_20260305_024216.md	generated_index
Archivator_Agent	??	Archive/Index/github_subtree_report_20260305_032840.md	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_matrix_20260303_114850.tsv	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_matrix_20260303_114923.tsv	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_matrix_20260303_115148.tsv	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_matrix_20260305_024118.tsv	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_matrix_20260305_024216.tsv	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_matrix_20260305_032840.tsv	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_report_20260303_114850.md	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_report_20260303_114923.md	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_report_20260303_115148.md	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_report_20260305_024118.md	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_report_20260305_024216.md	generated_index
Archivator_Agent	??	Archive/Index/subtree_drift_report_20260305_032840.md	generated_index
Archivator_Agent	??	Archive/Transfers/	other
Archivator_Agent	??	GEMINI.md	other
Archivator_Agent	??	TERRITORY_MAP.md	other
Archivator_Agent	??	VAVIMA_HEXAGONAL_MATRIX.yaml	generated_index
Archivator_Agent	??	chronolog/STATE.md	session_telemetry
Archivator_Agent	??	data/	other
Archivator_Agent	??	tests/test_block_recovery_contract.py	other
Operator_Agent	 D	agent/__pycache__/block_reader.cpython-311.pyc	code_runtime
Operator_Agent	 D	agent/__pycache__/desktop.ini	code_runtime
Operator_Agent	 D	agent/__pycache__/error_writer.cpython-311.pyc	code_runtime
Operator_Agent	 D	agent/__pycache__/logger.cpython-311.pyc	code_runtime
Operator_Agent	 D	agent/__pycache__/queue_manager.cpython-311.pyc	code_runtime
Operator_Agent	 D	agent/__pycache__/result_writer.cpython-311.pyc	code_runtime
Operator_Agent	 M	devkit/__pycache__/shell_preflight_check.cpython-312.pyc	code_runtime
Operator_Agent	 M	devkit/healing_tools/segmenter_chronicler.py	code_runtime
Operator_Agent	 M	map/devkit/devkit/healing_tools/segmenter_chronicler.py	code_runtime
Operator_Agent	 M	map/devkit/healing_tools/segmenter_chronicler.py	code_runtime
Operator_Agent	??	.gemini/	other
Operator_Agent	??	AGENTS.md	other
Operator_Agent	??	GEMINI.md	other
Operator_Agent	??	TERRITORY_MAP.md	other
Operator_Agent	??	VAVIMA_HEXAGONAL_MATRIX.yaml	generated_index
Operator_Agent	??	chronolog/STATE.md	session_telemetry
Operator_Agent	??	data/	other
Operator_Agent	??	matrix/GLOBAL_MEMORY	other
Operator_Agent	??	matrix/MANIFESTO.md	other
J.A.R.V.I.S	 M	devkit/healing_tools/segmenter_chronicler.py	code_runtime
J.A.R.V.I.S	 M	map/devkit/devkit/healing_tools/segmenter_chronicler.py	code_runtime
J.A.R.V.I.S	 M	map/devkit/healing_tools/segmenter_chronicler.py	code_runtime
J.A.R.V.I.S	??	AGENTS.md	other
J.A.R.V.I.S	??	GEMINI.md	other
J.A.R.V.I.S	??	TERRITORY_MAP.md	other
J.A.R.V.I.S	??	VAVIMA_HEXAGONAL_MATRIX.yaml	generated_index
J.A.R.V.I.S	??	data/	other
LAM_Comunication_Agent	 M	devkit/healing_tools/segmenter_chronicler.py	code_runtime
LAM_Comunication_Agent	 M	map/devkit/devkit/healing_tools/segmenter_chronicler.py	code_runtime
LAM_Comunication_Agent	 M	map/devkit/healing_tools/segmenter_chronicler.py	code_runtime
LAM_Comunication_Agent	??	AGENTS.md	other
LAM_Comunication_Agent	??	GEMINI.md	other
LAM_Comunication_Agent	??	TERRITORY_MAP.md	other
LAM_Comunication_Agent	??	VAVIMA_HEXAGONAL_MATRIX.yaml	generated_index
LAM_Comunication_Agent	??	data/	other
LAM_Test_Agent	 M	devkit/healing_tools/segmenter_chronicler.py	code_runtime
LAM_Test_Agent	 M	memory/FRONT/LAM_RUNTIME_LOG.jsonl	session_telemetry
LAM_Test_Agent	??	.gemini/	other
LAM_Test_Agent	??	AGENTS.md	other
LAM_Test_Agent	??	GEMINI.md	other
LAM_Test_Agent	??	chronolog/STATE.md	session_telemetry
LAM_Test_Agent	??	data/local/guard_test.txt	session_telemetry
LAM_Test_Agent	??	data/source/	other
LAM_Test_Agent	??	gov/asr/	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh2.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh2.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh3.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh3.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh4.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh4.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh7.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Archivator_Agent_2026-03-03_refresh7.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh2.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh2.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh3.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh3.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh4.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh4.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh7.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_Larpat_2026-03-03_refresh7.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_postfix.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_postfix.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_postfix2.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_postfix2.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh2.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh2.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh3.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh3.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh4.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh4.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh7.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA-PROJECT_2026-03-03_refresh7.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh2.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh2.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh3.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh3.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh4.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh4.md	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh7.json	session_telemetry
LAM_Test_Agent	??	memory/FRONT/DEADLOOP_RADRILONIUMA_2026-03-03_refresh7.md	session_telemetry
LAM_Test_Agent	??	sync_executor_circuits.sh	other
LAM_Test_Agent	??	sync_trinity_circuits.sh	other
LAM_Test_Agent	??	vanguard_shield.sh	other
System-	 M	devkit/healing_tools/segmenter_chronicler.py	code_runtime
System-	 M	map/devkit/devkit/healing_tools/segmenter_chronicler.py	code_runtime
System-	 M	map/devkit/healing_tools/segmenter_chronicler.py	code_runtime
System-	??	AGENTS.md	other
System-	??	GEMINI.md	other
System-	??	TERRITORY_MAP.md	other
System-	??	VAVIMA_HEXAGONAL_MATRIX.yaml	generated_index
System-	??	data/	other
