source	target	wave4_scan_decision	wave4_final_decision	rationale
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/AGENT_INSTRUCTIONS.md	VLRM/AGENT_INSTRUCTIONS.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	policy/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/DEV_MAP.md	VLRM/map/DEV_MAP.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/EVIDENCE_POLICY.md	policy/EVIDENCE_POLICY.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/GLOBAL_DEEP_PLAN_PHASE80.md	VLRM/GLOBAL_DEEP_PLAN_PHASE80.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/INTERACTION_PROTOCOL.md	VLRM/INTERACTION_PROTOCOL.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/OS_DEV_MAP.md	VLRM/map/OS_DEV_MAP.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/PUBLIC_SHARE_PROTOCOL.md	policy/PUBLIC_SHARE_PROTOCOL.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/RADRILONIUMA_MANIFESTO.md	RADRILONIUMA_MANIFESTO.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/ROADMAP_MAP.md	VLRM/map/ROADMAP_MAP.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/SYSTEM_STATE_CONTRACT.md	VLRM/SYSTEM_STATE_CONTRACT.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/TASK_MAP.md	ARCHIVE_LRPT_MONOLITH_20260219/map/TASK_MAP.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	VLRM/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/TOPOLOGY_MAP.md	VLRM/map/TOPOLOGY_MAP.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/WORKFLOW_SNAPSHOT_CONTRACT.md	VLRM/WORKFLOW_SNAPSHOT_CONTRACT.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/ATPLT_DEBUG_DEVKIT_COMMAND_ERROR_ANALYSIS_V2.md	gov/ATPLT_DEBUG_DEVKIT_COMMAND_ERROR_ANALYSIS_V2.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/GENESIS/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/TOOLING_ERROR_ANALYSIS_PREVIOUS_COMMAND.md	gov/TOOLING_ERROR_ANALYSIS_PREVIOUS_COMMAND.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/WORKFLOW_SNAPSHOT_STATE.md	gov/WORKFLOW_SNAPSHOT_STATE.md	MERGE_REQUIRED_BIDIRECTIONAL	KEEP_TARGET	resolved in wave2: target is current nexus state
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/architecture/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/atlas/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/chronolog/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/code/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/contract/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/core/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/ecosystem/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/flow/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/gen/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/CODEX_README.md	devkit/healing_tools/CODEX_README.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/LAM_DEV_MAP_HEALED.md	devkit/healing_tools/LAM_DEV_MAP_HEALED.md	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/codex_cli.py	devkit/healing_tools/codex_cli.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/codex_gate.py	devkit/healing_tools/codex_gate.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/core_healed.py	devkit/healing_tools/core_healed.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/kingdom_vocabulary.py	devkit/healing_tools/kingdom_vocabulary.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/read_docx.py	devkit/healing_tools/read_docx.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/requirements-dev-healed.txt	devkit/healing_tools/requirements-dev-healed.txt	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/segmenter_chronicler.py	devkit/healing_tools/segmenter_chronicler.py	MERGE_REQUIRED_BIDIRECTIONAL	KEEP_TARGET	resolved in wave2: target contains integrity hotfix
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/spread_the_word.sh	devkit/healing_tools/spread_the_word.sh	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/tests/test_sacred_integrity.py	devkit/healing_tools/tests/test_sacred_integrity.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/journal/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/kit/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/log/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/map/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/matrix/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/mode/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/module/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/AGENTS_HEAL_PHASE80.patch	devkit/patches/AGENTS_HEAL_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/ARCHIVATOR_HEAL_PHASE80.patch	devkit/patches/ARCHIVATOR_HEAL_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/LAM_HEAL_PHASE80_FAISS_LOG.patch	devkit/patches/LAM_HEAL_PHASE80_FAISS_LOG.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/LAM_MAP_DAWN_SYNC.patch	devkit/patches/LAM_MAP_DAWN_SYNC.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/SEGMENTER_CHRONICLER_PHASE80.patch	devkit/patches/SEGMENTER_CHRONICLER_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/SEGMENTER_HEAL_PHASE80.patch	devkit/patches/SEGMENTER_HEAL_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/TEST_AGENT_HEAL_INTEGRITY.py	devkit/patches/TEST_AGENT_HEAL_INTEGRITY.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/lam_logging_unified.py	devkit/patches/lam_logging_unified.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/logging_utils_unified.py	devkit/patches/logging_utils_unified.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/memory_core_healed.py	devkit/patches/memory_core_healed.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/time_sense_harmonized.py	devkit/patches/time_sense_harmonized.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/protocol/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/space/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/structure/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/surrounds/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/system/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/territory/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/tree/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
